,Marque,Modèle,Année-Modèle,Kilométrage,Type de carburant,Puissance fiscale,Boite de vitesses,Nombre de portes,Origine,Première main,État,Jantes aluminium,Airbags,Climatisation,Système de navigation/GPS,Toit ouvrant,Sièges cuir,Radar de recul,Caméra de recul,Vitres électriques,ABS,ESP,Régulateur de vitesse,Limiteur de vitesse,CD/MP3/Bluetooth,Ordinateur de bord,Verrouillage centralisé à distance,Prix
0,Fiat,Punto,2007,224999.5,Diesel,5,Manuelle,5,WW au Maroc,Non,Très bon,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,60000
1,Dacia,Dokker Van,2013,424999.5,Diesel,6,Manuelle,3,WW au Maroc,Non,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70000
3,Volkswagen,Touareg,2005,2499.5,Diesel,10,Automatique,5,WW au Maroc,Oui,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90000
4,Toyota,Prado,2007,224999.5,Diesel,12,Manuelle,5,WW au Maroc,Non,Excellent,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,97000
5,Volkswagen,Tiguan,2014,184999.5,Diesel,8,Automatique,5,Dédouanée,Non,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,255000
6,Peugeot,308,2009,224999.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,85000
8,Peugeot,208,2021,12499.5,Diesel,6,Manuelle,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,164000
9,Volkswagen,GOLF 7,2013,124999.5,Diesel,8,Automatique,5,Dédouanée,Non,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,198000
12,Ford,Kuga,2016,224999.5,Diesel,8,Manuelle,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,180000
14,Citroen,Berlingo,2015,12499.5,Essence,6,Manuelle,3,WW au Maroc,Non,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105000
15,Dacia,Logan Mcv,2017,2499.5,Diesel,5,Manuelle,5,WW au Maroc,Oui,Très bon,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,98000
17,Ford,Focus,2014,194999.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Très bon,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,128000
18,Peugeot,301,2018,52499.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107000
19,Mercedes-Benz,220,1998,324999.5,Diesel,9,Manuelle,5,Dédouanée,Non,Excellent,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,87000
22,Opel,Astra,2011,224999.5,Diesel,7,Manuelle,5,WW au Maroc,Non,Bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83000
25,Ford,Fiesta,2017,82499.5,Diesel,6,Manuelle,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,102000
26,Hyundai,H-1,2009,324999.5,Diesel,10,Manuelle,5,WW au Maroc,Non,Bon,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,83000
27,Renault,Clio,2014,144999.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Excellent,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,104000
28,Citroen,Berlingo,2011,2499.5,Diesel,7,Manuelle,5,WW au Maroc,Oui,Bon,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,88000
30,Peugeot,308,2017,114999.5,Diesel,6,Automatique,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,145000
31,Volkswagen,GOLF 6,2009,274999.5,Diesel,8,Manuelle,5,Dédouanée,Non,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,110000
32,Audi,A3,2015,134999.5,Diesel,6,Automatique,5,Dédouanée,Oui,Très bon,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,220000
33,Renault,Kangoo,2019,97499.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Excellent,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,127000
